id;access;bicycle;crossing;foot;footway;highway;horse;junction;lanes;lit;maxspeed;name;oneway;service;surface
0;-;-;-;-;-;residential;-;-;-;-;-;Rua AB-17;-;-;-
1;-;-;-;-;-;residential;-;-;-;-;-;Rua AB-19;-;-;-
2;-;-;-;-;-;residential;-;-;-;-;-;Rua AB-13;-;-;-
3;-;-;-;-;-;residential;-;-;-;-;-;Rua AB-13;-;-;-
4;-;-;-;-;-;residential;-;-;-;-;-;Rua AB-18;-;-;-
5;-;-;-;-;-;residential;-;-;-;-;-;Rua AB-16;-;-;-
6;-;-;-;-;-;residential;-;-;-;-;-;Rua AB-1;-;-;-
7;-;-;-;-;-;residential;-;-;-;-;-;Rua AB-1;-;-;-
8;-;-;-;-;-;residential;-;-;-;-;-;Rua AB-1;-;-;-
9;-;-;-;-;-;residential;-;-;-;-;-;Rua AB-1;-;-;-
10;-;-;-;-;-;residential;-;-;-;-;-;RUA AB-2;-;-;-
11;-;-;-;-;-;residential;-;-;-;-;-;RUA AB-2;-;-;-
12;-;-;-;-;-;residential;-;-;-;-;-;RUA AB-2;-;-;-
13;-;-;-;-;-;residential;-;-;-;-;-;RUA AB-2;-;-;-
14;-;-;-;-;-;residential;-;-;-;-;-;Rua AB-14;-;-;-
15;-;-;-;-;-;residential;-;-;-;-;-;Rua AB-14;-;-;-
16;-;-;-;-;-;residential;-;-;-;-;-;Rua AB-20;-;-;-
17;-;-;-;-;-;residential;-;-;-;-;-;Rua r-014;no;-;asphalt
18;-;-;-;-;-;tertiary;-;-;-;-;-;Alameda Flamboyant;no;-;-
19;-;-;-;-;-;tertiary;-;-;-;-;-;Alameda Flamboyant;no;-;-
20;-;-;-;-;-;tertiary;-;-;-;-;-;Alameda Flamboyant;no;-;-
21;-;-;-;-;-;tertiary;-;-;-;-;-;-;yes;-;-
22;-;-;-;-;-;footway;no;-;-;yes;-;-;-;-;concrete
23;-;-;-;-;-;footway;no;-;-;yes;-;-;-;-;concrete
24;-;-;-;-;-;footway;no;-;-;yes;-;-;-;-;concrete
25;-;-;-;-;-;footway;no;-;-;yes;-;-;-;-;-
26;-;-;-;-;-;footway;no;-;-;yes;-;-;-;-;-
27;-;-;-;-;-;footway;no;-;-;yes;-;-;-;-;-
28;-;-;-;-;-;footway;no;-;-;yes;-;-;-;-;-
29;-;-;-;-;-;footway;no;-;-;yes;-;-;-;-;-
30;-;-;-;-;-;footway;no;-;-;yes;-;-;-;-;-
31;-;-;-;-;-;footway;no;-;-;yes;-;-;-;-;-
32;-;-;-;-;-;footway;no;-;-;yes;-;-;-;-;-
33;-;-;-;-;-;footway;-;-;-;yes;-;-;-;-;-
34;-;-;-;-;-;footway;-;-;-;yes;-;-;-;-;-
35;-;-;-;-;-;footway;-;-;-;yes;-;-;-;-;-
36;-;-;-;-;-;footway;-;-;-;-;-;-;-;-;-
37;-;-;-;-;-;footway;-;-;-;-;-;-;-;-;-
38;-;-;-;-;-;footway;-;-;-;-;-;-;-;-;-
39;-;-;-;-;-;footway;-;-;-;-;-;-;-;-;-
40;-;-;-;-;-;footway;-;-;-;yes;-;-;-;-;-
41;-;-;-;-;-;footway;-;-;-;yes;-;-;-;-;-
42;-;-;-;-;-;footway;-;-;-;-;-;-;-;-;-
43;-;-;-;-;-;corridor;-;-;-;yes;-;-;-;-;-
