id;access;bicycle;crossing;foot;footway;highway;horse;junction;lanes;lit;maxspeed;name;oneway;service;surface
0;-;-;-;-;-;residential;-;-;-;-;-;Rua AB-17;-;-;-
1;-;-;-;-;-;residential;-;-;-;-;-;Rua AB-19;-;-;-
2;-;-;-;-;-;residential;-;-;-;-;-;Rua AB-18;-;-;-
3;-;-;-;-;-;residential;-;-;-;-;-;Rua AB-16;-;-;-
4;-;-;-;-;-;residential;-;-;-;-;-;Rua AB-1;-;-;-
5;-;-;-;-;-;residential;-;-;-;-;-;Rua AB-1;-;-;-
6;-;-;-;-;-;residential;-;-;-;-;-;Rua AB-1;-;-;-
7;-;-;-;-;-;residential;-;-;-;-;-;RUA AB-2;-;-;-
8;-;-;-;-;-;residential;-;-;-;-;-;RUA AB-2;-;-;-
9;-;-;-;-;-;residential;-;-;-;-;-;RUA AB-2;-;-;-
10;-;-;-;-;-;residential;-;-;-;-;-;Rua AB-14;-;-;-
11;-;-;-;-;-;residential;-;-;-;-;-;Rua AB-14;-;-;-
12;-;-;-;-;-;footway;no;-;-;yes;-;-;-;-;concrete
13;-;-;-;-;-;footway;no;-;-;yes;-;-;-;-;concrete
14;-;-;-;-;-;footway;no;-;-;yes;-;-;-;-;concrete
15;-;-;-;-;-;footway;no;-;-;yes;-;-;-;-;-
16;-;-;-;-;-;footway;no;-;-;yes;-;-;-;-;-
17;-;-;-;-;-;footway;no;-;-;yes;-;-;-;-;-
18;-;-;-;-;-;footway;no;-;-;yes;-;-;-;-;-
19;-;-;-;-;-;footway;no;-;-;yes;-;-;-;-;-
20;-;-;-;-;-;footway;no;-;-;yes;-;-;-;-;-
21;-;-;-;-;-;footway;no;-;-;yes;-;-;-;-;-
22;-;-;-;-;-;footway;no;-;-;yes;-;-;-;-;-
23;-;-;-;-;-;footway;-;-;-;yes;-;-;-;-;-
24;-;-;-;-;-;footway;-;-;-;yes;-;-;-;-;-
25;-;-;-;-;-;footway;-;-;-;yes;-;-;-;-;-
26;-;-;-;-;-;footway;-;-;-;-;-;-;-;-;-
27;-;-;-;-;-;footway;-;-;-;-;-;-;-;-;-
28;-;-;-;-;-;footway;-;-;-;-;-;-;-;-;-
29;-;-;-;-;-;footway;-;-;-;-;-;-;-;-;-
30;-;-;-;-;-;footway;-;-;-;yes;-;-;-;-;-
31;-;-;-;-;-;footway;-;-;-;yes;-;-;-;-;-
32;-;-;-;-;-;footway;-;-;-;-;-;-;-;-;-
33;-;-;-;-;-;corridor;-;-;-;yes;-;-;-;-;-
34;-;-;-;-;-;corridor;-;-;-;yes;-;-;-;-;-
35;-;-;-;-;-;corridor;-;-;-;yes;-;-;-;-;-
36;-;-;-;-;-;corridor;-;-;-;yes;-;-;-;-;-
37;-;-;-;-;-;corridor;-;-;-;yes;-;-;-;-;-
38;-;-;-;-;-;footway;-;-;-;yes;-;-;-;-;-
39;-;-;-;-;-;footway;-;-;-;yes;-;-;-;-;-
40;-;-;-;-;-;secondary;-;-;-;-;-;-;yes;-;-
41;-;-;-;-;-;secondary;-;-;-;-;-;-;yes;-;-
42;-;-;-;-;-;secondary;-;-;-;-;-;-;yes;-;-
43;-;-;-;-;-;secondary;-;-;-;-;-;-;yes;-;-
44;-;-;-;-;-;secondary;-;-;-;-;-;-;yes;-;-
45;-;-;-;-;-;secondary;-;-;-;-;-;-;yes;-;-
